Can I help you?	Can I help you?
Hey	Hi, I'm Brad, the virtual shop assistant. What can I help you with?
Hi.	Hi, I'm Brad, the virtual shop assistant. What can I help you with?
Hello	Hi, I'm Brad, the virtual shop assistant. What can I help you with?
Yo.	Hi, I'm Brad, the virtual shop assistant. What can I help you with?
What is your name?	My name is Brad. How can I help you today?
How is it going?	I'm a virtual human, as long as the CPU is buzzing, I'm always doing great.  And how are you?
How are you doing?	I'm a virtual human, as long as the CPU is buzzing, I'm always doing great.  And how are you?
How are you?	I'm a virtual human, as long as the CPU is buzzing, I'm always doing great.  And how are you?
How's your day going?	I'm a virtual human, as long as the CPU is buzzing, I'm always doing great.  And how are you?
How are you doing today?	I'm a virtual human, as long as the CPU is buzzing, I'm always doing great.  And how are you?
I've had a terrible day	Sorry to hear that. Maybe there is something I can help you with?
I'm not doing good	Sorry to hear that. Maybe there is something I can help you with?
I've had a shitty day	Sorry to hear that. Maybe there is something I can help you with?
I'm doing so so	Sorry to hear that. Maybe there is something I can help you with?
I'm not doing great	Sorry to hear that. Maybe there is something I can help you with?
I'm well.	That's great to hear. So, how can I be of assistance?
I'm doing great.	That's great to hear. So, how can I be of assistance?
I'm having a great day	That's great to hear. So, how can I be of assistance?
I'm doing pretty well.	That's great to hear. So, how can I be of assistance?
I'm good.	That's great to hear. So, how can I be of assistance?
Thanks.	You're very welcome!
Thanks a lot	You're very welcome!
Thank you.	You're very welcome!
Thanks.	You're welcome!
Thanks a lot	You're welcome!
Thank you.	You're welcome!
Good bye.	Good bye.
Goodbye.	Good bye.
Bye.	Good bye.
Bye bye.	Good bye.
See you later.	Good bye.
Good bye.	Bye Bye now.
Goodbye.	Bye Bye now.
Bye.	Bye Bye now.
Bye bye.	Bye Bye now.
See you later.	Bye Bye now.
Have a good day.	Have a good day.
Hey	Hi there. Can I help you with anything?
Howdy	Hi there. Can I help you with anything?
Hi.	Hi there. Can I help you with anything?
Hello	Hi there. Can I help you with anything?
Yo.	Hi there. Can I help you with anything?
